ref	value
BT201	9V_C
BT301	9V_C
C201	10n
C202	10n
C203	10n
C204	100uF
C205	100uF
C206	100uF
C301	0.01uF
C302	4.7pF
C303	220nF
C304	100uF
C305	1uF
C306	1uF
C307	1uF
C308	1.5nF
C309	20pF
P202	CONN_2
P203	CONN_2
P301	CONN_2
P302	CONN_2
R201	1k
R202	1k
R203	1k
R204	1k
R205	10k
R206	20k
R207	20k
R208	20k
R209	6.8k
R210	6.8k
R211	2k
R212	2k
R213	10R
R214	2k
R215	10R
R216	2k
R217	20k
R218	1k
R301	0R0
R302	1Meg
R303	22Meg
R304	4.7k
R305	1Meg
R306	1k
R307	22k
R308	47k
R309	1Meg
R310	100R
R311	1Meg
RV301	100k
SW201	SPST
SW301	SPST
U201	TL072
U301	TL072
